name,whoami
Hobgoblin,123
USBHub,256
Poke,1024
MultiPwmGenerator,1040
Wear,1056
WearBaseStationGen2,1058
Driver12Volts,1072
LedController,1088
Synchronizer,1104
InputExpander,1106
OutputExpander,1108
SimpleAnalogGenerator,1121
StepperDriver,1130
Archimedes,1136
Olfactometer,1140
ClockSynchronizer,1152
TimestampGeneratorGen1,1154
TimestampGeneratorGen3,1158
CameraController,1168
CameraControllerGen2,1170
PyControlAdapter,1184
Behavior,1216
VestibularH1,1224
VestibularH2,1225
LoadCells,1232
AnalogInput,1236
RgbArray,1248
FlyPad,1200
SoundCard,1280
SyringePump,1296
NeurophotometricsFP3002,2064
Ibl_behavior_control,2080
RfidReader,2094
Pluma,2110
LicketySplit,1400
SniffDetector,1401
Treadmill,1402
cuTTLefish,1403
WhiteRabbit,1404
EnvironmentSensor,1405
cuTTLefishFip,1407
