name,species_registry_abbreviation,species_registry_identifier,strain,strain_registry_abbreviation,strain_registry_identifier,common_name
Callithrix jacchus,NCBI,NCBI:txid9483,default,,,Common marmoset
Homo sapiens,NCBI,NCBI:txid9606,default,,,Human
Macaca mulatta,NCBI,NCBI:txid9544,default,,,Rhesus macaque
Mus musculus,NCBI,NCBI:txid10090,C57BL/6J,MGI,MGI:3028467,House mouse
Mus musculus,NCBI,NCBI:txid10090,BALB/c,MGI,MGI:2159737,House mouse
Mus musculus,NCBI,NCBI:txid10090,Unknown,,,House mouse
Rattus norvegicus,NCBI,NCBI:txid10116,default,,,Norway rat
Gallus gallus,NCBI,NCBI:txid9031,default,,,Chicken
Oryctolagus cuniculus,NCBI,NCBI:txid9986,default,,,European rabbit
Cavia porcellus,NCBI,NCBI:txid10141,default,,,Guinea pig
Carpa hircus,NCBI,NCBI:txid9925,default,,,Goat
Equus asinus,NCBI,NCBI:txid9793,default,,,Donkey
Lama glama,NCBI,NCBI:txid9844,default,,,Llama
Vicuna pacos,NCBI,NCBI:txid30538,default,,,Alpaca
