START,,,,,,,,,,,,
7,13,,,,,,,,,,,
1,2,3,5,7,10,20,,,,,,
0,0.063,0.1,0.125,0.15,0.175,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0,0,0,0,0,0,0,,,,,,
0.313,0.369,0.403,0.433,0.432,0.431,0.431,,,,,,
0.52,0.56,0.559,0.558,0.557,0.536,0.496,,,,,,
0.664,0.708,0.713,0.675,0.611,0.577,0.529,,,,,,
0.823,0.836,0.848,0.76,0.638,0.582,0.51,,,,,,
0.983,0.96,0.96,0.802,0.664,0.586,0.49,,,,,,
1.142,1.08,1.056,0.88,0.691,0.591,0.471,,,,,,
1.461,1.333,1.198,0.941,0.744,0.6,0.432,,,,,,
1.76,1.526,1.328,0.99,0.754,0.604,0.428,,,,,,
2.048,1.72,1.42,1.016,0.76,0.608,0.425,,,,,,
2.32,1.872,1.488,1.036,0.774,0.612,0.421,,,,,,
2.576,1.99,1.556,1.04,0.78,0.616,0.418,,,,,,
2.795,2.059,1.598,1.048,0.794,0.62,0.414,,,,,,
END,,,,,,,,,,,,
START,,,,,,,,,,,,
7,13,,,,,,,,,,,
1,2,3,5,7,10,20,,,,,,
0,0.063,0.1,0.125,0.15,0.175,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0,0,0,0,0,0,0,,,,,,
0.333,0.401,0.45,0.508,0.531,0.549,0.75,,,,,,
0.6,0.76,0.77,0.788,0.75,0.71,0.715,,,,,,
0.766,0.855,0.897,0.902,0.857,0.816,0.777,,,,,,
0.987,1.04,1.08,1.072,0.93,0.834,0.759,,,,,,
1.209,1.202,1.24,1.16,0.988,0.852,0.742,,,,,,
1.43,1.4,1.4,1.244,1.02,0.876,0.724,,,,,,
1.873,1.771,1.629,1.323,1.08,0.907,0.688,,,,,,
2.28,2.003,1.76,1.343,1.1,0.889,0.64,,,,,,
2.68,2.26,1.97,1.364,1.1,0.88,0.592,,,,,,
3.04,2.44,1.88,1.383,1.08,0.84,0.524,,,,,,
3.36,2.572,1.97,1.4,1.052,0.8,0.472,,,,,,
3.646,2.682,2.105,1.424,1.035,0.76,0.392,,,,,,
END,,,,,,,,,,,,
START,,,,,,,,,,,,
7,13,,,,,,,,,,,
1,2,3,5,7,10,20,,,,,,
0,0.063,0.1,0.125,0.15,0.175,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0,0,0,0,0,0,0,,,,,,
0.365,0.456,0.527,0.631,0.696,0.757,0.864,,,,,,
0.65,0.85,0.938,0.985,1.025,1.01,1.01,,,,,,
0.933,1.091,1.187,1.241,1.208,1.177,1.143,,,,,,
1.242,1.35,1.415,1.463,1.271,1.195,1.114,,,,,,
1.552,1.6,1.65,1.61,1.334,1.213,1.085,,,,,,
1.861,1.863,1.865,1.708,1.397,1.231,1.056,,,,,,
2.48,2.391,2.224,1.834,1.524,1.267,1.01,,,,,,
2.96,2.7,2.435,1.857,1.539,1.277,1.005
3.45,3.02,2.575,1.886,1.56,1.285,1.003
3.95,3.26,2.67,1.904,1.57,1.299,1.002
4.4,3.445,2.75,1.925,1.595,1.303,1.001
4.859,3.571,2.821,1.95,1.6,1.32,1
END,,,,,,
